PLZ_K,STADT_K,lat,lon
24976,Handewitt,54.7634057335,9.32490895545
12529,Berlin,52.52468,13.40535
24109,Kiel Mettenhof,54.3163100635459,10.0489528983832
24941,Jarplund-Weding,54.7433859239,9.38503158147
9120,Chemnitz,50.8333,12.9167
24113,Molfsee,54.2645626120845,10.0659111648799
23556,Lübeck,53.86956,10.68713
24558,Henstedt-Ulzburg,53.79032,9.9803
22869,Schenefeld bei Hamburg,53.60085,9.82257
2625,Bautzen,51.18072,14.42792
20457,Hamburg,53.554423,9.994583
12487,Berlin Treptow-Köpenick,52.445817,13.574588
4155,Leipzig,51.3396,12.3713
1067,Dresden,51.05,13.75
1097,Dresden,51.05,13.75
24119,Kronshagen,54.3314414549232,10.0852312356234
17192,Groß Dratow Klein Dratow,53.5056752356192,12.8741554077149
18273,Güstrow Güstrow,53.80412,12.18655
63067,Offenbach am Main,50.1,8.76667
50670,Köln,50.9333,6.95
10785,Berlin,52.52468,13.40535
18442,Neu Bartelshagen Lassentin,54.33058,12.90221
34117,Kassel,51.316944,9.4925
35390,Gießen,50.5833,8.65
18507,Grimmen Jessin,54.09094,13.01477
18184,Broderstorf Ikendorf,54.07582,12.25814
18182,Rövershagen,54.17642,12.23382
19055,Schwerin,53.63281,11.41422
18059,Pölchow Huckstorf,53.9844,12.11161
18069,Lambrechtshagen,54.10206,12.01595
24376,Arnis,54.63036,9.93159
24116,Kiel,54.3226843669499,10.1358638465405
59192,Bergkamen,51.61429,7.64089999999999
23795,Groß Rönnau,53.97226,10.31196
6632,Freyburg (Unstrut),51.2177983484528,11.7680947486879
1099,Dresden,51.05,13.75
24539,Neumünster,54.07402,9.984512
22303,Hamburg Hamburg-Nord,53.6153,9.99269
50668,Köln,50.9333,6.95
19386,Werder bei Lübz,53.50029,12.0096599999999
25436,Moorrege bei Uetersen,53.6677402529403,9.65997231347566
22525,Hamburg Altona,53.55506,9.94196
17491,Greifswald,54.0888132703675,13.3944205793762
1445,Radebeul,51.1117214378571,13.649485015869
8371,Glauchau,50.8167,12.5333
9112,Chemnitz,50.8333,12.9167
35582,Wetzlar,50.55,8.5
34121,Kassel,51.316944,9.4925
19061,Schwerin,53.60716,11.46771
19230,Warlitz,53.3782,11.14941
18106,Rostock Evershagen,54.11616,12.05916
19374,Grebbin Kossebade,53.53182,11.8413
23936,Grieben bei Grevesmühlen,53.8422,11.04943
19412,Weitendorf bei Sternberg,53.71757,11.7510600000001
19053,Schwerin,53.63281,11.41422
24145,Kiel,54.2621477409145,10.1496262609959
1257,Dresden,51.05,13.75
1968,Senftenberg,51.50423,13.97623
4109,Leipzig,51.3396,12.3713
8523,Plauen,50.5,12.1333
4105,Leipzig,51.3396,12.3713
20350,Hamburg,53.554423,9.994583
61169,Friedberg (Hessen),50.35,8.76667
4299,Leipzig,51.3396,12.3713
1307,Dresden,51.05,13.75
63303,Dreieich,50.0,8.7
9116,Chemnitz,50.8333,12.9167
24161,Altenholz,54.4016457700682,10.1185690820218
24937,Flensburg Friesischer Berg,54.77148,9.40625
19057,Schwerin,53.63281,11.41422
18146,Rostock Toitenwinkel,54.11695,12.13897
18439,Stralsund Frankensiedlung,54.267733,13.080098
82049,Pullach im Isartal,48.05,11.5333
80636,München,48.1374,11.5755
22529,Hamburg Eimsbüttel,53.574444,9.959444
24118,Kiel,54.3226843669499,10.1358638465405
18055,Rostock Kassebohm,54.07529,12.17764
40211,Düsseldorf,51.220507741497,6.81216996826174
41470,Neuss,51.2038721294835,6.68800777252204
64546,Mörfelden-Walldorf,49.9947,8.58361
10587,Berlin Charlottenburg-Wilmersdorf,52.497058,13.29649
80339,München,48.1374,11.5755
1705,Freital,51.0017,13.6488
4463,Großpösna Seifertshain,51.29352331063,12.5178254142945
1328,Dresden,51.05,13.75
1640,Coswig bei Dresden,51.130660800737,13.5780643280029
81673,München,48.1374,11.5755
4178,Leipzig,51.3396,12.3713
6796,Brehna,51.5581118542846,12.2170433227539
7570,Weida,50.7667,12.0667
9128,Chemnitz,50.8333,12.9167
15910,Schönwald bei Lübben,51.99122,13.7752
9212,Limbach-Oberfrohna Kändler,50.8667,12.75
9131,Chemnitz,50.8333,12.9167
4827,Machern bei Wurzen,51.3611534104658,12.6335574920654
60326,Frankfurt am Main Griesheim,50.1,8.6
10787,Berlin Tempelhof-Schöneberg,52.44763,13.38535
4416,Markkleeberg,51.2750049912737,12.3664402008056
8209,Auerbach / Vogtland,50.5167,12.4
1239,Dresden,51.05,13.75
3046,Cottbus,51.75529,14.3330100000001
23701,Süsel,54.07735,10.71555
24103,Kiel,54.3226843669499,10.1358638465405
24223,Schwentinental,54.2944438083405,10.2166636455983
23845,Seth,53.84604,10.17496
4720,Döbeln,51.1167,13.1167
1127,Dresden,51.05,13.75
3096,Briesen,51.8167,14.25
9114,Chemnitz,50.8333,12.9167
40882,Ratingen,51.2965653110169,6.84012947082522
2708,Großschweidnitz,51.07387,14.6481699999999
4107,Leipzig,51.3396,12.3713
64295,Darmstadt,49.8706,8.64944
10117,Berlin,52.52468,13.40535
54294,Trier Euren,49.75,6.63333
60314,Frankfurt am Main Fechenheim,50.1167,8.68333
85774,Unterföhring,48.2,11.6467
9599,Freiberg,50.9167,13.3667
24357,Güby,54.4859065328657,9.66688449680038
24977,Langballig,54.7970142576,9.63691100533
25813,Südermarsch bei Husum,54.4309769913578,9.07681420589033
50672,Köln,50.9333,6.95
24944,Flensburg Mürwik,54.80992,9.46094
9603,Großschirma,50.9667,13.2833
9224,Chemnitz Grüna bei Chemnitz,50.81,12.786
2736,Oppach,51.05799,14.5035399999999
1139,Dresden,51.05,13.75
1454,Radeberg,51.11392,13.91364
4329,Leipzig,51.3396,12.3713
4860,Torgau,51.55746,12.9916000000001
4129,Leipzig,51.3396,12.3713
22765,Hamburg Altona,53.55506,9.94196
25469,Halstenbek,53.63411,9.8376
1109,Dresden,51.05,13.75
1587,Riesa,51.3063320341141,13.2878978729248
9111,Chemnitz,50.8333,12.9167
23562,Lübeck,53.86956,10.68713
